id,DTEGRANTED,CODE,source_name,TYPECODE,APPLNO,OLDCODE,COMMODITIES,PART,LEN,STATUSGRP,GROUP5,source_title,AREA,AREAUNIT,RENEWAL,DTEPEGGED,INTEREST,GROUP2,COMMODITIESCD,STATUS,OBJECTID,layer_id,MAPREF,source_url,rest_url,layer_name,DTERENEWAL,JURISDIC,ARCHIVED,RESPOFFICE,NAME,ACCCODE,REGION,COMMENTS,TYPEGROUP,GROUP4,GROUP1,GROUP3,PARTIES,DTEEXPIRES,AREAVALUE,TYPE,DTEAPPLIED
1168,,Test-94,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216920,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,,Test Areas,
1169,,Test-95,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216921,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,68965.921,Test Areas,
1170,,Test-96,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216922,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,12603.9976,Test Areas,
1171,,Test-97,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216923,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,36857.2061,Test Areas,
1172,,Test-98,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216924,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,13927.0864,Test Areas,
1173,,Test-99,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216925,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,34500.2188,Test Areas,
1174,,Test-100,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216926,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,22444.1943,Test Areas,
1175,2011-07-11,4083,NA,EPL,,4083,Non-Nuclear Fuel Minerals,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,Nnf,Expired,216927,18,"Namibia,A, Kunene,Tsumeb; Oshikoto",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4083,,,,Exploration,,Non-Nuclear Fuel Minerals,,Bastos Foundation (100.000000%),2014-07-10,98200,Exclusive Prospecting Licence,2008-05-28
1176,2011-07-11,4085,NA,EPL,,4085,Non-Nuclear Fuel Minerals,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,Nnf,Expired,216928,18,"Namibia,A, Kunene,Tsumeb; Oshikoto",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4085,,,,Exploration,,Non-Nuclear Fuel Minerals,,Bastos Foundation (100.000000%),2014-07-10,97500,Exclusive Prospecting Licence,2008-05-28
1177,2011-07-11,4086,NA,EPL,,4086,Non-Nuclear Fuel Minerals,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,Nnf,Expired,216929,18,"Namibia,A, Kunene,Tsumeb; Oshikoto",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4086,,,,Exploration,,Non-Nuclear Fuel Minerals,,Bastos Foundation (100.000000%),2014-07-10,97460,Exclusive Prospecting Licence,2008-05-28
